phase (degrees), delay (ns), EO Modulated (V), Un Modulatoed/Reference (V)
576.946, 0.03234188034188125, 0.16742857938100184, 0.17337143680612957
576.946, 0.03234188034188125, 0.16788572225985782, 0.17108572241184966
576.946, 0.03234188034188125, 0.16891429373728378, 0.1704000080935657
576.946, 0.03234188034188125, 0.16880000801756978, 0.17302857964698756
576.968, 0.03309401709401576, 0.16720000794157386, 0.16971429377528174
576.968, 0.03309401709401576, 0.16788572225985782, 0.1709714366921357
576.968, 0.03309401709401576, 0.16811429369928582, 0.17005715093442372
576.968, 0.03309401709401576, 0.16800000797957182, 0.17142857957099164
576.968, 0.03309401709401576, 0.16982857949499572, 0.16971429377528174
576.99, 0.03384615384615416, 0.16777143654014384, 0.16937143661613976
576.99, 0.03384615384615416, 0.16697143650214588, 0.17062857953299368
576.99, 0.03384615384615416, 0.1709714366921357, 0.16982857949499572
576.99, 0.03384615384615416, 0.1684571508584278, 0.17405715112441353
576.99, 0.03384615384615416, 0.16720000794157386, 0.17188572244984762
577.012, 0.03459829059828867, 0.17062857953299368, 0.17165715101041965
577.012, 0.03459829059828867, 0.16994286521470972, 0.1684571508584278
577.012, 0.03459829059828867, 0.16754286510071584, 0.17120000813156366
577.012, 0.03459829059828867, 0.1709714366921357, 0.1702857223738517
577.012, 0.03459829059828867, 0.16994286521470972, 0.17085715097242168
577.034, 0.03535042735042707, 0.1724571510484176, 0.17200000816956162
577.034, 0.03535042735042707, 0.17302857964698756, 0.17520000832155347
577.034, 0.03535042735042707, 0.17211429388927563, 0.17154286529070564
577.034, 0.03535042735042707, 0.1725714367681316, 0.17142857957099164
577.034, 0.03535042735042707, 0.17302857964698756, 0.1729142939272736
577.056, 0.036102564102565474, 0.17211429388927563, 0.1722285796089896
577.056, 0.036102564102565474, 0.17131429385127767, 0.17074286525270768
577.056, 0.036102564102565474, 0.17382857968498552, 0.17325715108641557
577.056, 0.036102564102565474, 0.17337143680612957, 0.17074286525270768
577.056, 0.036102564102565474, 0.17360000824555755, 0.17211429388927563
577.078, 0.03685470085469999, 0.17005715093442372, 0.17017143665413773
577.078, 0.03685470085469999, 0.1729142939272736, 0.17177143673013365
577.078, 0.03685470085469999, 0.1705142938132797, 0.17280000820755959
577.078, 0.03685470085469999, 0.1725714367681316, 0.16925715089642576
577.078, 0.03685470085469999, 0.1724571510484176, 0.1724571510484176
577.1, 0.03760683760683839, 0.17360000824555755, 0.17165715101041965
577.1, 0.03760683760683839, 0.17508572260183947, 0.16948572233585374
577.1, 0.03760683760683839, 0.17302857964698756, 0.16948572233585374
577.1, 0.03760683760683839, 0.17188572244984762, 0.17280000820755959
577.1, 0.03760683760683839, 0.1748571511624115, 0.17200000816956162
577.122, 0.038358974358972904, 0.1729142939272736, 0.16880000801756978
577.122, 0.038358974358972904, 0.1704000080935657, 0.1723428653287036
577.122, 0.038358974358972904, 0.17337143680612957, 0.1709714366921357
577.122, 0.038358974358972904, 0.1705142938132797, 0.17085715097242168
577.122, 0.038358974358972904, 0.17314286536670156, 0.17108572241184966
577.144, 0.039111111111111305, 0.17302857964698756, 0.17085715097242168
577.144, 0.039111111111111305, 0.1725714367681316, 0.16994286521470972
577.144, 0.039111111111111305, 0.17142857957099164, 0.17280000820755959
577.144, 0.039111111111111305, 0.17268572248784558, 0.16948572233585374
577.144, 0.039111111111111305, 0.17120000813156366, 0.17005715093442372
