phase (degrees), delay (ns), EO Modulated (V), Un Modulatoed/Reference (V)
576.748, 0.025572649572651193, 0.1684571508584278, 0.17200000816956162
576.748, 0.025572649572651193, 0.17142857957099164, 0.17062857953299368
576.77, 0.026324786324785705, 0.17348572252584354, 0.17085715097242168
576.77, 0.026324786324785705, 0.16982857949499572, 0.17154286529070564
576.77, 0.026324786324785705, 0.16925715089642576, 0.17382857968498552
576.77, 0.026324786324785705, 0.17108572241184966, 0.1723428653287036
576.77, 0.026324786324785705, 0.1722285796089896, 0.17371429396527155
576.792, 0.027076923076924105, 0.17005715093442372, 0.17085715097242168
576.792, 0.027076923076924105, 0.17108572241184966, 0.17165715101041965
576.792, 0.027076923076924105, 0.16960000805556774, 0.17142857957099164
576.792, 0.027076923076924105, 0.1724571510484176, 0.17417143684412753
576.792, 0.027076923076924105, 0.16960000805556774, 0.17108572241184966
576.814, 0.02782905982905862, 0.17302857964698756, 0.1722285796089896
576.814, 0.02782905982905862, 0.16925715089642576, 0.17200000816956162
576.814, 0.02782905982905862, 0.17508572260183947, 0.16971429377528174
576.814, 0.02782905982905862, 0.1745142940032695, 0.17177143673013365
576.814, 0.02782905982905862, 0.1723428653287036, 0.17314286536670156
576.836, 0.02858119658119702, 0.17417143684412753, 0.17280000820755959
576.836, 0.02858119658119702, 0.17314286536670156, 0.1705142938132797
576.836, 0.02858119658119702, 0.17200000816956162, 0.17108572241184966
576.836, 0.02858119658119702, 0.17394286540469953, 0.17417143684412753
576.836, 0.02858119658119702, 0.17325715108641557, 0.17200000816956162
576.858, 0.029333333333331532, 0.17520000832155347, 0.1723428653287036
576.858, 0.029333333333331532, 0.17554286548069545, 0.17462857972298348
576.858, 0.029333333333331532, 0.1749714368821255, 0.17165715101041965
576.858, 0.029333333333331532, 0.1724571510484176, 0.17348572252584354
576.858, 0.029333333333331532, 0.17542857976098145, 0.1729142939272736
576.88, 0.030085470085469933, 0.17542857976098145, 0.17348572252584354
576.88, 0.030085470085469933, 0.17337143680612957, 0.1709714366921357
576.88, 0.030085470085469933, 0.17508572260183947, 0.17302857964698756
576.88, 0.030085470085469933, 0.1725714367681316, 0.17131429385127767
576.88, 0.030085470085469933, 0.17200000816956162, 0.17165715101041965
576.902, 0.030837606837608333, 0.16925715089642576, 0.17142857957099164
576.902, 0.030837606837608333, 0.17360000824555755, 0.17074286525270768
576.902, 0.030837606837608333, 0.17360000824555755, 0.1725714367681316
576.902, 0.030837606837608333, 0.1749714368821255, 0.17108572241184966
576.902, 0.030837606837608333, 0.17005715093442372, 0.17005715093442372
576.924, 0.03158974358974285, 0.16937143661613976, 0.17177143673013365
576.924, 0.03158974358974285, 0.17085715097242168, 0.17211429388927563
576.924, 0.03158974358974285, 0.16788572225985782, 0.17017143665413773
576.924, 0.03158974358974285, 0.1742857225638415, 0.17360000824555755
576.924, 0.03158974358974285, 0.17348572252584354, 0.17508572260183947
576.946, 0.03234188034188125, 0.1682285794189998, 0.1724571510484176
576.946, 0.03234188034188125, 0.17062857953299368, 0.17188572244984762
576.946, 0.03234188034188125, 0.16720000794157386, 0.17074286525270768
576.946, 0.03234188034188125, 0.16925715089642576, 0.17371429396527155
576.946, 0.03234188034188125, 0.16811429369928582, 0.17360000824555755
576.968, 0.03309401709401576, 0.16914286517671176, 0.17131429385127767
576.968, 0.03309401709401576, 0.16891429373728378, 0.17005715093442372
576.968, 0.03309401709401576, 0.16925715089642576, 0.1747428654426975
576.968, 0.03309401709401576, 0.16765715082042984, 0.17280000820755959
576.968, 0.03309401709401576, 0.16971429377528174, 0.17108572241184966
576.99, 0.03384615384615416, 0.16685715078243188, 0.17211429388927563
576.99, 0.03384615384615416, 0.16560000786557794, 0.16914286517671176
576.99, 0.03384615384615416, 0.1658285793050059, 0.17074286525270768
576.99, 0.03384615384615416, 0.16525715070643596, 0.17188572244984762
576.99, 0.03384615384615416, 0.16537143642614996, 0.17200000816956162
577.012, 0.03459829059828867, 0.16308572203187005, 0.17108572241184966
577.012, 0.03459829059828867, 0.16537143642614996, 0.1724571510484176
577.012, 0.03459829059828867, 0.16491429354729398, 0.17108572241184966
577.012, 0.03459829059828867, 0.16411429350929602, 0.16948572233585374
577.012, 0.03459829059828867, 0.16891429373728378, 0.1729142939272736
577.034, 0.03535042735042707, 0.16685715078243188, 0.1704000080935657
577.034, 0.03535042735042707, 0.16148572195587413, 0.1729142939272736
577.034, 0.03535042735042707, 0.16560000786557794, 0.17200000816956162
577.034, 0.03535042735042707, 0.16320000775158405, 0.17074286525270768
577.034, 0.03535042735042707, 0.16754286510071584, 0.17154286529070564
577.056, 0.036102564102565474, 0.163885722069868, 0.17017143665413773
577.056, 0.036102564102565474, 0.16308572203187005, 0.17177143673013365
577.056, 0.036102564102565474, 0.16491429354729398, 0.17268572248784558
577.056, 0.036102564102565474, 0.16480000782757998, 0.17302857964698756
577.056, 0.036102564102565474, 0.16594286502471992, 0.16788572225985782
577.078, 0.03685470085469999, 0.17417143684412753, 0.17165715101041965
577.078, 0.03685470085469999, 0.1664000079035759, 0.17074286525270768
577.078, 0.03685470085469999, 0.1625142934333001, 0.17177143673013365
577.078, 0.03685470085469999, 0.1709714366921357, 0.17211429388927563
577.078, 0.03685470085469999, 0.16811429369928582, 0.17188572244984762
577.1, 0.03760683760683839, 0.17600000835955143, 0.17120000813156366
577.1, 0.03760683760683839, 0.17062857953299368, 0.17074286525270768
577.1, 0.03760683760683839, 0.17725715127640537, 0.1725714367681316
577.1, 0.03760683760683839, 0.17017143665413773, 0.17154286529070564
577.1, 0.03760683760683839, 0.1682285794189998, 0.17108572241184966
577.122, 0.038358974358972904, 0.1768000083975494, 0.1705142938132797
577.122, 0.038358974358972904, 0.18125715146639518, 0.17348572252584354
577.122, 0.038358974358972904, 0.1748571511624115, 0.17108572241184966
577.122, 0.038358974358972904, 0.17337143680612957, 0.17074286525270768
577.122, 0.038358974358972904, 0.1789714370721153, 0.17005715093442372
577.144, 0.039111111111111305, 0.1802285799889692, 0.17314286536670156
577.144, 0.039111111111111305, 0.1725714367681316, 0.17062857953299368
577.144, 0.039111111111111305, 0.1782857227538313, 0.17085715097242168
577.144, 0.039111111111111305, 0.17702857983697737, 0.16960000805556774
577.144, 0.039111111111111305, 0.18125715146639518, 0.17188572244984762
577.166, 0.0398632478632497, 0.17714286555669137, 0.1725714367681316
577.166, 0.0398632478632497, 0.1766857226778354, 0.1704000080935657
577.166, 0.0398632478632497, 0.1787428656326873, 0.1709714366921357
577.166, 0.0398632478632497, 0.1786285799129733, 0.17131429385127767
577.166, 0.0398632478632497, 0.18125715146639518, 0.17131429385127767
577.188, 0.04061538461538421, 0.17725715127640537, 0.16948572233585374
577.188, 0.04061538461538421, 0.17702857983697737, 0.1724571510484176
577.188, 0.04061538461538421, 0.17531429404126747, 0.16868572229785578
577.188, 0.04061538461538421, 0.1769142941172634, 0.16902857945699776
577.188, 0.04061538461538421, 0.1763428655186934, 0.17211429388927563
577.21, 0.041367521367522614, 0.1763428655186934, 0.17200000816956162
577.21, 0.041367521367522614, 0.1769142941172634, 0.17142857957099164
577.21, 0.041367521367522614, 0.1782857227538313, 0.17211429388927563
577.21, 0.041367521367522614, 0.17725715127640537, 0.17005715093442372
577.21, 0.041367521367522614, 0.17600000835955143, 0.1722285796089896
577.232, 0.04211965811965713, 0.17280000820755959, 0.16880000801756978
577.232, 0.04211965811965713, 0.17325715108641557, 0.16777143654014384
577.232, 0.04211965811965713, 0.16925715089642576, 0.17005715093442372
577.232, 0.04211965811965713, 0.17405715112441353, 0.16971429377528174
